InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 00:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	26.13	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 00:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	19.20	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 00:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	16.20	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 00:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	14.43	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 01:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	19.68	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 01:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	18.00	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 01:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	21.66	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 01:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	18.24	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 02:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	12.56	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 02:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	14.52	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 02:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	19.01	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 02:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	27.90	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 03:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	7.91	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 03:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	13.25	EUR	2024-10-03 13:23:29
c8931aa15545f40396213a7df7ba3c0e	2015-12-01 03:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	20.83	EUR	2024-10-03 13:23:29
