InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
75904f4f6310d25695a0960bf766f99b	2015-01-01 00:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	88.20	EUR	2024-10-03 13:21:50
75904f4f6310d25695a0960bf766f99b	2015-01-01 00:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	61.72	EUR	2024-10-03 13:21:50
75904f4f6310d25695a0960bf766f99b	2015-01-01 00:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	28.00	EUR	2024-10-03 13:21:50
75904f4f6310d25695a0960bf766f99b	2015-01-01 00:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	15.68	EUR	2024-10-03 13:21:50
75904f4f6310d25695a0960bf766f99b	2015-01-01 01:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	65.08	EUR	2024-10-03 13:21:50
75904f4f6310d25695a0960bf766f99b	2015-01-01 01:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	54.18	EUR	2024-10-03 13:21:50
75904f4f6310d25695a0960bf766f99b	2015-01-01 01:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	40.72	EUR	2024-10-03 13:21:50
75904f4f6310d25695a0960bf766f99b	2015-01-01 01:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	20.40	EUR	2024-10-03 13:21:50
75904f4f6310d25695a0960bf766f99b	2015-01-01 02:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	46.82	EUR	2024-10-03 13:21:50
75904f4f6310d25695a0960bf766f99b	2015-01-01 02:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	39.38	EUR	2024-10-03 13:21:50
75904f4f6310d25695a0960bf766f99b	2015-01-01 02:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	39.46	EUR	2024-10-03 13:21:50
