InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
7236c5079254b8f82e0e14315a027040	2019-08-01 00:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	36.80	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 01:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	38.19	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 02:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	38.75	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 03:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	37.89	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 04:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	42.44	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 05:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	46.92	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 06:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	48.00	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 07:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	42.43	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 08:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	40.76	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 09:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	40.14	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 10:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	40.06	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 11:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	39.99	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 12:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	39.48	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 13:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	40.28	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 14:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	40.17	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 15:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	45.33	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 16:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	55.96	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 17:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	62.49	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 18:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	65.01	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 19:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	57.95	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 20:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	51.53	EUR	2024-10-03 13:31:31
7236c5079254b8f82e0e14315a027040	2019-08-01 21:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	44.54	EUR	2024-10-03 13:31:31
6e56b9316d64bf215c5bd83c411a62f8	2019-08-01 22:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	40.00	EUR	2024-10-03 13:31:41
6e56b9316d64bf215c5bd83c411a62f8	2019-08-01 23:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	38.89	EUR	2024-10-03 13:31:41
6e56b9316d64bf215c5bd83c411a62f8	2019-08-02 00:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	38.44	EUR	2024-10-03 13:31:41
6e56b9316d64bf215c5bd83c411a62f8	2019-08-02 01:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	39.01	EUR	2024-10-03 13:31:41
6e56b9316d64bf215c5bd83c411a62f8	2019-08-02 02:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	39.26	EUR	2024-10-03 13:31:41
6e56b9316d64bf215c5bd83c411a62f8	2019-08-02 03:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	41.99	EUR	2024-10-03 13:31:41
6e56b9316d64bf215c5bd83c411a62f8	2019-08-02 04:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	48.00	EUR	2024-10-03 13:31:41
6e56b9316d64bf215c5bd83c411a62f8	2019-08-02 05:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	49.45	EUR	2024-10-03 13:31:41
