InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 00:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	20.00	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 00:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	19.80	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 00:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	14.44	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 00:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	14.27	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 01:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	19.30	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 01:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	16.72	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 01:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	13.61	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 01:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	13.42	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 02:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	13.43	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 02:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	13.00	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 02:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	18.15	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 02:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	17.00	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 03:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	16.08	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 03:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	14.43	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 03:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	15.16	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 03:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	16.16	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 04:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	13.29	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 04:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	11.87	EUR	2024-10-03 13:24:17
c7c1bc9a08074d6421f80225cfad90ec	2016-05-01 04:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	12.68	EUR	2024-10-03 13:24:17
