InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 00:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	23.00	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 00:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	19.42	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 00:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	20.00	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 00:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	18.70	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 01:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	19.00	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 01:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	20.01	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 01:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	19.46	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 01:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	19.51	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 02:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	17.70	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 02:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	21.10	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 02:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	22.07	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 02:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	19.95	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 03:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	18.23	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 03:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	20.00	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 03:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	21.99	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 03:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	28.98	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 04:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	18.01	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 04:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	26.09	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 04:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	32.38	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 04:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	33.50	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 05:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	31.61	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 05:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	34.36	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 05:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	38.31	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 05:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	37.50	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 06:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	42.32	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 06:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	40.02	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 06:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	38.14	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 06:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	33.54	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 07:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	40.97	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 07:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	38.07	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 07:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	38.06	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 07:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	32.49	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 08:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	39.20	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 08:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	38.99	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 08:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	36.07	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 08:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	33.76	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 09:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	40.25	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 09:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	40.00	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 09:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	34.77	EUR	2024-10-03 13:24:28
0b43760260cf724da43c38a11a6aaf5a	2016-06-01 09:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	32.20	EUR	2024-10-03 13:24:28
