InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
21c384285d7c456c178853392c5724b3	2018-01-01 00:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-20.00	EUR	2024-10-03 13:28:32
21c384285d7c456c178853392c5724b3	2018-01-01 00:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-33.90	EUR	2024-10-03 13:28:32
21c384285d7c456c178853392c5724b3	2018-01-01 00:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-26.81	EUR	2024-10-03 13:28:32
21c384285d7c456c178853392c5724b3	2018-01-01 00:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-41.30	EUR	2024-10-03 13:28:32
21c384285d7c456c178853392c5724b3	2018-01-01 01:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-20.00	EUR	2024-10-03 13:28:32
21c384285d7c456c178853392c5724b3	2018-01-01 01:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-38.10	EUR	2024-10-03 13:28:32
21c384285d7c456c178853392c5724b3	2018-01-01 01:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-39.08	EUR	2024-10-03 13:28:32
21c384285d7c456c178853392c5724b3	2018-01-01 01:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-43.20	EUR	2024-10-03 13:28:32
21c384285d7c456c178853392c5724b3	2018-01-01 02:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-37.40	EUR	2024-10-03 13:28:32
21c384285d7c456c178853392c5724b3	2018-01-01 02:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-39.40	EUR	2024-10-03 13:28:32
21c384285d7c456c178853392c5724b3	2018-01-01 02:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-41.19	EUR	2024-10-03 13:28:32
21c384285d7c456c178853392c5724b3	2018-01-01 02:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-42.00	EUR	2024-10-03 13:28:32
