InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
9400ff955352a974f042c9d6c30a4871	2014-01-07 23:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	57.98	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 00:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	57.38	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 01:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	55.51	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 02:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	50.14	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 03:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	53.42	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 04:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	56.95	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 05:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	60.50	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 06:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	62.95	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 07:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	62.93	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 08:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	62.39	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 09:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	62.11	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 10:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	62.16	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 11:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	60.59	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 12:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	60.92	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 13:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	62.02	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 14:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	62.00	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 15:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	62.01	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 16:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	62.03	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 17:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	62.02	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 18:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	60.92	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 19:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	60.97	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 20:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	60.07	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 21:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	58.58	EUR	2024-10-03 13:21:39
9400ff955352a974f042c9d6c30a4871	2014-01-08 22:00:00	PT60M	10YCH-SWISSGRIDZ	Switzerland (CH)	BZN	CH	Day-ahead	 	55.09	EUR	2024-10-03 13:21:39
