InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 00:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-15.57	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 00:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-18.80	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 00:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-19.19	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 00:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-22.26	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 01:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-17.50	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 01:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-6.82	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 01:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-9.81	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 01:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-17.91	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 02:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-29.73	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 02:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-27.78	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 02:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-21.90	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 02:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-21.70	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 03:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-20.25	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 03:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-18.41	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 03:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-11.79	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 03:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-8.20	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 04:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-16.86	EUR	2024-10-03 13:29:09
8e98d852fc26b0b0a28da5ba6f5ab0c1	2018-05-01 04:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	-14.56	EUR	2024-10-03 13:29:09
