InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
d100b051d1c44f695fd27f42646c9741	2017-09-01 00:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	31.62	EUR	2024-10-03 13:27:51
d100b051d1c44f695fd27f42646c9741	2017-09-01 00:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	29.72	EUR	2024-10-03 13:27:51
d100b051d1c44f695fd27f42646c9741	2017-09-01 00:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	31.46	EUR	2024-10-03 13:27:51
d100b051d1c44f695fd27f42646c9741	2017-09-01 00:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	30.64	EUR	2024-10-03 13:27:51
d100b051d1c44f695fd27f42646c9741	2017-09-01 01:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	31.34	EUR	2024-10-03 13:27:51
d100b051d1c44f695fd27f42646c9741	2017-09-01 01:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	29.27	EUR	2024-10-03 13:27:51
d100b051d1c44f695fd27f42646c9741	2017-09-01 01:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	28.79	EUR	2024-10-03 13:27:51
d100b051d1c44f695fd27f42646c9741	2017-09-01 01:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	30.60	EUR	2024-10-03 13:27:51
d100b051d1c44f695fd27f42646c9741	2017-09-01 02:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	22.35	EUR	2024-10-03 13:27:51
d100b051d1c44f695fd27f42646c9741	2017-09-01 02:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	26.30	EUR	2024-10-03 13:27:51
d100b051d1c44f695fd27f42646c9741	2017-09-01 02:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	34.20	EUR	2024-10-03 13:27:51
d100b051d1c44f695fd27f42646c9741	2017-09-01 02:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	37.42	EUR	2024-10-03 13:27:51
