InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
d543be228c55198f621d6f4ad8750598	2016-10-01 00:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	31.80	EUR	2024-10-03 13:25:33
d543be228c55198f621d6f4ad8750598	2016-10-01 00:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	28.10	EUR	2024-10-03 13:25:33
d543be228c55198f621d6f4ad8750598	2016-10-01 00:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	25.11	EUR	2024-10-03 13:25:33
d543be228c55198f621d6f4ad8750598	2016-10-01 00:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	23.80	EUR	2024-10-03 13:25:33
d543be228c55198f621d6f4ad8750598	2016-10-01 01:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	27.83	EUR	2024-10-03 13:25:33
d543be228c55198f621d6f4ad8750598	2016-10-01 01:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	25.33	EUR	2024-10-03 13:25:33
d543be228c55198f621d6f4ad8750598	2016-10-01 01:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	26.11	EUR	2024-10-03 13:25:33
d543be228c55198f621d6f4ad8750598	2016-10-01 01:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	27.48	EUR	2024-10-03 13:25:33
d543be228c55198f621d6f4ad8750598	2016-10-01 02:00:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	24.14	EUR	2024-10-03 13:25:33
d543be228c55198f621d6f4ad8750598	2016-10-01 02:15:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	25.57	EUR	2024-10-03 13:25:33
d543be228c55198f621d6f4ad8750598	2016-10-01 02:30:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	26.32	EUR	2024-10-03 13:25:33
d543be228c55198f621d6f4ad8750598	2016-10-01 02:45:00	PT15M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	2	29.36	EUR	2024-10-03 13:25:33
