InstanceCode	DateTime(UTC)	ResolutionCode	AreaCode	AreaDisplayName	AreaTypeCode	MapCode	ContractType	Sequence	Price[Currency/MWh]	Currency	UpdateTime(UTC)
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 00:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	25.04	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 01:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	24.94	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 02:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	26.04	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 03:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	27.14	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 04:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	40.92	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 05:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	53.10	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 06:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	52.85	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 07:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	41.13	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 08:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	37.57	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 09:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	32.85	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 10:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	29.46	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 11:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	28.02	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 12:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	28.01	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 13:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	27.00	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 14:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	26.82	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 15:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	27.50	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 16:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	31.03	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 17:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	36.49	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 18:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	36.32	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 19:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	34.93	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 20:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	37.24	EUR	2024-10-03 13:31:22
fbe371f4292d4375eb46e93a1c4184dc	2019-07-01 21:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	31.97	EUR	2024-10-03 13:31:22
2d03357581a529dd49872a5a8100e14c	2019-07-01 22:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	28.90	EUR	2024-10-03 13:31:31
2d03357581a529dd49872a5a8100e14c	2019-07-01 23:00:00	PT60M	10YAT-APG------L	Austria (AT)	BZN	AT	Day-ahead	1	26.97	EUR	2024-10-03 13:31:31
